brand,followers,year,variant,concentration,size_ml,price,price_per_ml
Akiko,30100,2019,Pereira,EDP,50,159000.0,3180.0
Aksen,1711,2023,New Romance,XDP,100,289000.0,2890.0
Alchemist,17800,2022,Powder Room,EDP,50,199000.0,3980.0
Alien Objects,15700,2019,XOXO,EDP,50,750000.0,15000.0
ALT Perfumery,6528,2021,Moroccan Sunset,EDP,50,229000.0,4580.0
Ara Scent,119,2023,Sogno,EDP,30,139000.0,4633.33
Aromes,15700,2022,Crazy Sexy,EDP,50,299000.0,5980.0
Arra,920,2021,Havana,EDP,30,99000.0,3300.0
Art Derora,5063,2023,Swings,XDP,50,149000.0,2980.0
Astree,1338,2023,A Day at the Park,EDP,50,349000.0,6980.0
Ataraksia,8019,2021,Societeit Harmonie,EDP,55,337000.0,6127.27
Ataraxia,1067,2023,Estarossa,EDP,50,129000.0,2580.0
Avalanche,1305,2023,Tidal Wave,XDP,35,299000.0,8542.86
avantglossy,1148,2021,Cloud County,EDP,30,115000.0,3833.33
Avicenna,781,2022,Miracle,EDP,100,229250.0,2292.5
Azwary Perfume,432,2023,Magical Instinct,EDP,50,250000.0,5000.0
Bali Surfer's Perfume,5463,2021,Blue Point,EDP,100,199999.0,1999.99
Beure,3648,2023,White Tea,XDP,50,149000.0,2980.0
BFA Perfumery,1533,2022,Oxford,EDP,50,199000.0,3980.0
Black Friday,20700,2018,Smells Like Friday 02,EDP,50,111200.0,2224.0
Blondeurr Perfume Lab,4293,2023,Penthouse,XDP,50,169000.0,3380.0
Bohe,25500,2023,Scent of Heaven,XDP,35,149500.0,4271.43
Bonavie,73800,2022,Fleur du Jardin,EDP,30,34900.0,1163.33
Boura Perfumery,6896,2022,Noisy Bathroom,EDP,30,143100.0,4770.0
Brishka,5008,2022,Malibu Night,EDP,100,200000.0,2000.0
Buttonscarves,39700,2021,Colmar,EDP,85,595000.0,7000.0
Byliv Perfume,324,2022,Black Sapphire,EDP,30,120000.0,4000.0
Caliv Perfume,1027,2023,Alter,EDP,50,139000.0,2780.0
Calluna Perfume,3600,2023,Arum,EDP,50,129000.0,2580.0
CARESO,35700,2019,Clean,EDT,100,169000.0,1690.0
Carl & Claire,67500,2020,Black Dahlia,EDP,30,274000.0,9133.33
Cuddlenco,536,2023,Libido,XDP,30,84000.0,2800.0
De Antoine,7862,2019,L'amour Toujours,XDP,100,420000.0,4200.0
de LUNAR Perfumery,11600,2022,Obsess,EDP,50,185000.0,3700.0
De.Claires,541000,2018,Petite Pastry,EDP,55,185000.0,3363.64
Dewdrop Perfumery,1060,2023,Bali Bouquet,XDP,50,55920.0,1118.4
Diell,581,2024,Caramella,EDP,50,299000.0,5980.0
Douceur Perfume,3462,2019,Avetis,EDP,50,125000.0,2500.0
el'mntrx,685,2021,De Fleurs,EDP,50,185000.0,3700.0
Eliotte Parfums,3266,2023,Vanille Seduction,EDP,30,129000.0,4300.0
EONA,1932,2023,Cold Shower,EDP,75,329000.0,4386.67
